order_id,order_date,destination_country,brand,product_name,product_type,quantity,unit_price_usd
CF24-000001,2025-10-01,KR,Torriden,토리든 셀마이드 세라마이드 세럼 50ml,serum,1,18.72
CF24-000002,2025-10-01,KR,Torriden,토리든 셀마이드 세라마이드 크림 80ml 수분,cream,2,16.80
CF24-000003,2025-10-01,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 톤업,sunscreen,1,23.00
CF24-000004,2025-10-01,SG,Roundlab,라운드랩 자작나무 수분 세럼 50ml 히알루론산,serum,2,24.49
CF24-000005,2025-10-02,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml,toner,1,15.44
CF24-000006,2025-10-02,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml,toner,1,19.58
CF24-000007,2025-10-03,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 센텔라 히알루론산,toner,1,18.94
CF24-000008,2025-10-03,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml 센텔라,toner,3,10.17
CF24-000009,2025-10-03,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 보습,toner,2,21.68
CF24-000010,2025-10-03,KR,Innisfree,이니스프리 비자 시카 세럼 50ml,serum,2,15.30
CF24-000011,2025-10-03,JP,Roundlab,라운드랩 자작나무 수분 토너 200ml 히알루론산,toner,1,21.01
CF24-000012,2025-10-03,JP,Torriden,토리든 셀마이드 세라마이드 세럼 50ml,serum,1,26.92
CF24-000013,2025-10-03,JP,Torriden,토리든 셀마이드 세라마이드 크림 80ml,cream,1,15.64
CF24-000014,2025-10-03,SG,Torriden,토리든 셀마이드 세라마이드 세럼 50ml,serum,2,21.59
CF24-000015,2025-10-04,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 센텔라 히알루론산 수분,toner,3,12.29
CF24-000016,2025-10-05,SG,Torriden,토리든 다이브인 클리어패드 토너 200ml,toner,2,18.80
CF24-000017,2025-10-06,KR,Innisfree,이니스프리 데일리 UV 프로텍션 크림 SPF50+ PA++++ 50ml 수분,sunscreen,2,12.42
CF24-000018,2025-10-06,KR,Innisfree,이니스프리 비자 시카 세럼 50ml,serum,4,26.39
CF24-000019,2025-10-06,KR,Skinfood,스킨푸드 시어버터 립 케어 밤 9.5g,lip,1,15.95
CF24-000020,2025-10-07,KR,Roundlab,라운드랩 자작나무 수분 선크림 SPF50+ PA++++ 50ml 저자극,sunscreen,1,17.50
CF24-000021,2025-10-07,KR,Innisfree,이니스프리 그린티 밸런싱 토너 200ml,toner,1,14.40
CF24-000022,2025-10-07,KR,Torriden,토리든 다이브인 수분크림 100ml,cream,3,29.87
CF24-000023,2025-10-08,KR,Innisfree,이니스프리 그린티 씨드 세럼 80ml 노세범,serum,1,30.68
CF24-000024,2025-10-08,KR,Skinfood,스킨푸드 캐롯 카로틴 진정 크림 50ml,cream,1,31.01
CF24-000025,2025-10-09,KR,Torriden,토리든 다이브인 클리어패드 토너 200ml 나이아신아마이드 센텔라 피부장벽,toner,3,13.95
CF24-000026,2025-10-09,KR,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,1,9.93
CF24-000027,2025-10-09,JP,Torriden,토리든 다이브인 저분자 히알루론산 토너 300ml,toner,1,20.26
CF24-000028,2025-10-11,KR,Roundlab,라운드랩 자작나무 수분 크림 80ml,cream,1,25.42
CF24-000029,2025-10-12,KR,Roundlab,라운드랩 독도 세럼 50ml 히알루론산,serum,1,20.31
CF24-000030,2025-10-12,JP,Innisfree,이니스프리 인텐시브 안티폴루션 선스크린 SPF50+ PA++++ 50ml 노세범,sunscreen,1,15.99
