order_id,order_date,destination_country,brand,product_name,product_type,quantity,unit_price_usd
QO10-000001,2025-10-01,JP,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 크림 63ml 저자극,cream,2,31.40
QO10-000002,2025-10-02,JP,Roundlab,라운드랩 자작나무 수분 세럼 50ml 센텔라,serum,2,20.07
QO10-000003,2025-10-02,JP,Torriden,토리든 셀마이드 세라마이드 크림 80ml,cream,2,17.42
QO10-000004,2025-10-02,JP,Skinfood,스킨푸드 프레쉬 과일 립앤치크 틴트 8g #04 코랄핑크 벨벳,lip,4,14.96
QO10-000005,2025-10-02,JP,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,1,11.30
QO10-000006,2025-10-03,SG,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 크림 63ml,cream,1,23.78
QO10-000007,2025-10-04,JP,Roundlab,라운드랩 자작나무 수분 선크림 SPF50+ PA++++ 50ml 톤업 무기자차,sunscreen,2,22.17
QO10-000008,2025-10-04,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 무기자차,sunscreen,1,16.83
QO10-000009,2025-10-04,JP,Innisfree,이니스프리 시카 리페어 토너 200ml 히알루론산,toner,2,13.32
QO10-000010,2025-10-04,SG,Torriden,토리든 셀마이드 세라마이드 세럼 50ml 나이아신아마이드,serum,1,20.91
QO10-000011,2025-10-05,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 톤업,sunscreen,1,18.10
QO10-000012,2025-10-05,JP,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml 톤업,sunscreen,3,27.11
QO10-000013,2025-10-05,JP,Skinfood,스킨푸드 토마토 선 크림 SPF50+ PA++++ 40ml 비건 무기자차,sunscreen,4,26.38
QO10-000014,2025-10-05,SG,Roundlab,라운드랩 소나무 진정 선크림 SPF50+ PA++++ 40ml,sunscreen,2,25.17
QO10-000015,2025-10-05,SG,Innisfree,이니스프리 그린티 밸런싱 토너 200ml 나이아신아마이드,toner,2,10.49
QO10-000016,2025-10-06,JP,Skinfood,스킨푸드 캐롯 카로틴 진정 토너 300ml 센텔라,toner,2,12.26
QO10-000017,2025-10-06,JP,Torriden,토리든 셀마이드 세라마이드 크림 80ml,cream,1,31.78
QO10-000018,2025-10-06,JP,Roundlab,라운드랩 소나무 진정 크림 80ml,cream,1,26.13
QO10-000019,2025-10-06,JP,Roundlab,라운드랩 독도 모이스처 립밤 12g,lip,1,10.47
QO10-000020,2025-10-06,JP,Torriden,토리든 솔리드인 세라마이드 립 에센스 11ml,lip,2,13.87
QO10-000021,2025-10-06,SG,Skinfood,스킨푸드 캐롯 카로틴 진정 세럼 50ml 나이아신아마이드 피부장벽,serum,1,23.02
QO10-000022,2025-10-07,JP,Skinfood,스킨푸드 로열허니 프로폴리스 인리치드 에센스 50ml 진정,serum,2,22.33
QO10-000023,2025-10-07,JP,Innisfree,이니스프리 그린티 씨드 크림 50ml 진정,cream,3,23.35
QO10-000024,2025-10-07,JP,Roundlab,라운드랩 독도 모이스처 립밤 12g,lip,2,12.89
QO10-000025,2025-10-08,JP,Torriden,토리든 다이브인 마일드 선스크린 SPF50+ PA++++ 60ml 무기자차,sunscreen,2,13.76
